,Date,polarityavg,subjectivityavg
103,2010-06-04,0.13640096618357483,0.13640096618357483
104,2010-06-07,0.14081868131868133,0.14081868131868133
105,2010-06-08,0.12838571428571427,0.12838571428571427
106,2010-06-09,0.12904,0.12904
107,2010-06-10,0.10040869565217393,0.10040869565217393
108,2010-06-11,0.12069406392694064,0.12069406392694064
109,2010-06-14,0.14604166666666665,0.14604166666666665
110,2010-06-15,0.15067982456140344,0.15067982456140344
111,2010-06-16,0.09945023696682466,0.09945023696682466
112,2010-06-17,0.13757065217391304,0.13757065217391304
113,2010-06-18,0.10349557522123894,0.10349557522123894
114,2010-06-21,0.10927604166666666,0.10927604166666666
115,2010-06-22,0.12136486486486488,0.12136486486486488
116,2010-06-23,0.12830366492146597,0.12830366492146597
117,2010-06-24,0.142547263681592,0.142547263681592
